name,start_year,end_year
World War 1,1914,1918
World War 2,1939,1945
Cold War,1947,1991
Globalization,1990,2024
New Wave,1950,1960
Post-Colonial Independence Movements,1940,1970
Introduction of Sound,1927,1927
Digital Revolution and CGI,1990,2000
Streaming Era and Internet Disruption,2000,2024
Baby Boom and Youth Explosion,1945,1960
