title,worldwide,Year,Genre
10,"$52,134,699",1979,Romantic Comedy
The Jerk,"$73,691,419",1979,Comedy
Moonraker,"$210,300,000",1979,Action
The Muppet Movie,"$80,448,839",1979,Adventure
The Electric Horseman,"$42,670,138",1979,Romantic Comedy
The China Syndrome,"$35,708,042",1979,Thriller/Suspense
Meatballs,"$43,000,000",1979,Comedy
Escape from Alcatraz,"$43,430,363",1979,Drama
The Main Event,"$37,198,813",1979,Romantic Comedy
Manhattan,"$40,053,595",1979,Romantic Comedy
All That Jazz,"$37,823,676",1979,Drama
The Black Stallion,"$39,532,061",1979,Adventure
The Black Hole,"$35,841,901",1979,Action
Starting Over,"$38,200,000",1979,Comedy
And Justice for All,"$33,300,000",1979,
1941,"$95,413,421",1979,Comedy
The Champ,"$30,441,738",1979,Drama
Being There,"$30,177,606",1979,Comedy
The Rose,"$29,473,566",1979,Drama
Going in Style,"$29,900,000",1979,Comedy
North Dallas Forty,"$19,010,710",1979,Comedy
The Warriors,"$22,495,493",1979,Action
Norma Rae,"$22,228,000",1979,Drama
Buck Rogers in the 25th Century,$0,1979,Adventure
National Lampoon's Animal House 1979 Re-release,"$21,508,877",1979,
The Apple Dumpling Gang Rides Again,"$20,931,111",1979,
La Cage aux Folles,"$18,709",1979,Comedy
Dracula,"$21,665,392",1979,Horror
When a Stranger Calls,"$1,262,052",1979,Thriller/Suspense
"Same Time, Next Year","$19,703,082",1979,
The Seduction of Joe Tynan,"$19,000,000",1979,Drama
Monty Python's Life of Brian,"$19,426,110",1979,
One Hundred and One Dalmatians 1979 Re-release,"$19,000,000",1979,
Prophecy,"$22,673,340",1979,Horror
Breaking Away,"$20,000,000",1979,Drama
Hair,"$13,100,000",1979,Comedy
More American Graffiti,"$8,100,000",1979,Comedy
Roller Boogie,"$775,133",1979,Comedy
The Great Train Robbery,"$13,027,857",1979,
The Concorde... Airport '79,"$13,015,688",1979,
Phantasm,$0,1979,Horror
The Promise,"$11,606,005",1979,
The Legacy,$0,1979,
Fiddler on the Roof 1979 Re-release,"$10,404,330",1979,
The Onion Field,$0,1979,
The Frisco Kid,"$12,000,000",1979,Comedy
Meteor,"$8,541,479",1979,Action
The Fish That Saved Pittsburgh,"$12,922",1979,Comedy
Bloodline,"$8,218,695",1979,
The Prisoner of Zenda,"$7,000,000",1979,Comedy
Agatha,"$7,500,000",1979,Thriller/Suspense
Americathon,$0,1979,Comedy
Running,$0,1979,
Cuba,"$527,540",1979,Action
Butch and Sundance: The Early Days,$0,1979,Western
Players,$0,1979,Drama
The Great Santini,"$7,000,000",1979,Drama
Yanks,$0,1979,Drama
Lost and Found,"$1,022,374",1979,Comedy
Hanover Street,"$3,000,000",1979,Drama
Voices,"$27,445",1979,Drama
Wanda Nevada,$0,1979,Adventure
Sunburn,$0,1979,
Rich Kids,"$53,064",1979,Drama
Walk Proud,"$1,675,040",1979,
Last Embrace,"$381,119",1979,Thriller/Suspense
Goldengirl,$0,1979,
The Passage,"$153,474",1979,Drama
Winter Kills,"$77,587",1979,Drama
City on Fire,$0,1979,Action
"A Man, a Woman and a Bank",$0,1979,Comedy
Five Days from Home,"$641,768",1979,
Fast Charlie... the Moonbeam Rider,"$444,334",1979,
The Human Factor,$0,1979,Drama
Real Life,$0,1979,Comedy
An Almost Perfect Affair,$0,1979,Romantic Comedy
Nest of Vipers,$0,1979,
The Milky Way,"$1,816",1979,
Star Wars: Episode V - The Empire Strikes Back,"$209,398,025",1980,
9 to 5,"$103,300,659",1980,Comedy
Stir Crazy,"$101,300,000",1980,Black Comedy
Airplane!,"$83,454,307",1980,Comedy
Any Which Way You Can,"$70,687,344",1980,Comedy
Private Benjamin,"$69,847,348",1980,Comedy
Coal Miner's Daughter,"$67,182,787",1980,
Smokey and the Bandit II,"$66,132,626",1980,Comedy
The Blue Lagoon,"$47,923,795",1980,Drama
The Blues Brothers,"$57,245,279",1980,Comedy
Ordinary People,"$52,302,978",1980,Drama
Popeye,"$49,823,037",1980,Musical
Urban Cowboy,"$46,918,287",1980,Western
The Shining,"$46,222,167",1980,Horror
Seems Like Old Times,"$23,200,000",1980,Romantic Comedy
Cheech and Chong's Next Movie,"$41,675,194",1980,
Caddyshack,"$39,849,764",1980,Comedy
Friday the 13th,"$59,754,601",1980,Horror
Brubaker,"$37,121,708",1980,Drama
Little Darlings,"$34,326,249",1980,Comedy
Dressed to Kill,"$33,016,092",1980,Thriller/Suspense
The Jazz Singer,"$27,118,000",1980,
Flash Gordon,"$29,418,225",1980,Action
Lady and the Tramp 1980 Re-release,"$26,114,207",1980,
The Elephant Man,"$26,644,016",1980,Drama
Bronco Billy,"$24,265,659",1980,Comedy
Raging Bull,"$23,417,649",1980,Drama
Xanadu,"$22,762,611",1980,Musical
American Gigolo,"$52,743,674",1980,Thriller/Suspense
My Bodyguard,"$22,482,952",1980,Comedy
The Fog,"$21,445,868",1980,Horror
Fame,"$21,202,829",1980,Musical
Tess,"$20,093,330",1980,Drama
Altered States,"$19,853,898",1980,Horror
Song of the South,"$19,800,000",1980,
Cruising,"$19,784,223",1980,Thriller/Suspense
The Octagon,"$19,000,000",1980,Action
The Aristocats,"$18,000,000",1980,
Honeysuckle Rose,"$17,815,212",1980,Drama
Herbie Goes Bananas,"$17,000,000",1980,
Rough Cut,"$16,656,125",1980,
The Final Countdown,"$56,647,800",1980,Action
The Hunter,"$16,647,800",1980,Action
Hero at Large,"$15,934,737",1980,Comedy
The Long Riders,"$15,198,912",1980,Western
The Island,"$15,716,828",1980,Adventure
Close Encounters of the Third Kind 1980 Special Edition,"$15,693,175",1980,
First Family,"$15,198,912",1980,Comedy
Prom Night,"$14,796,236",1980,
The Nude Bomb,"$14,662,035",1980,Comedy
"Oh, God! Book II","$14,504,277",1980,Comedy
The Competition,"$13,000,000",1980,Drama
Wholly Moses!,"$14,155,617",1980,Comedy
Mary Poppins 1980 Re-release,"$14,000,000",1980,
The Last Married Couple in America,"$12,835,544",1980,Comedy
Used Cars,"$11,715,321",1980,Comedy
The Last Flight of Noah's Ark,"$11,000,000",1980,
The Mirror Crack'd,"$11,000,414",1980,Thriller/Suspense
The Fiendish Plot of Dr. Fu Manchu,"$10,697,276",1980,Comedy
Stardust Memories,"$10,389,003",1980,Comedy
The Hollywood Knights,"$10,000,000",1980,
Serial,"$9,870,727",1980,
Somewhere in Time,"$9,709,597",1980,Drama
Saturn 3,"$10,120,328",1980,Thriller/Suspense
Tribute,"$9,000,000",1980,
The Formula,"$8,894,289",1980,Thriller/Suspense
Mad Max,"$8,750,000",1980,
Battle Creek Brawl,"$8,527,743",1980,
The Awakening,"$8,415,112",1980,Horror
Fatso,"$7,000,000",1980,
How to Become a Detective,"$7,500,000",1980,
How to Beat the High Cost of Living,"$7,500,000",1980,
Foxes,"$7,496,585",1980,Drama
The Big Red One,"$7,206,220",1980,Drama
The Stunt Man,"$7,063,886",1980,
Where the Buffalo Roam,"$6,659,377",1980,Comedy
The Gong Show Movie,"$6,726,819",1980,Comedy
Motel Hell,"$6,342,668",1980,Horror
Little Miss Marker,"$6,321,392",1980,Comedy
Oh Heavenly Dog,"$6,216,067",1980,Comedy
Divine Madness,"$5,318,098",1980,
In God We Trust (or Gimme That Prime Time Religion),"$5,215,015",1980,
He Knows You're Alone,"$4,875,436",1980,Horror
Coast to Coast,"$4,495,445",1980,
Melvin and Howard,"$4,309,490",1980,Comedy
Roadie,"$4,226,370",1980,Comedy
Gloria,"$47,019",1980,Thriller/Suspense
Jaws 2 1980 Re-release,"$4,028,735",1980,
Kagemusha: The Shadow Warrior,"$4,001,070",1980,
Resurrection,"$3,910,019",1980,Drama
Hide in Plain Sight,"$3,806,930",1980,Drama
Guyana: Cult of the Damned,"$3,798,102",1980,
When Time Ran Out...,"$3,763,988",1980,Adventure
Heaven's Gate,"$3,484,523",1980,Western
North Sea Hijack,"$2,993,772",1980,Adventure
Midnight Madness,"$2,900,000",1980,
Loving Couples,"$2,806,659",1980,Romantic Comedy
The Idolmaker,"$2,625,716",1980,Drama
The Black Marble,"$2,500,000",1980,Romantic Comedy
Gilda Live,"$2,261,507",1980,Concert/Performance
Windows,"$2,200,000",1980,Thriller/Suspense
Just Tell Me What You Want,"$2,086,905",1980,Romantic Comedy
"Bon Voyage, Charlie Brown (and Don't Come Back!!)","$2,013,193",1980,
Carny,"$1,817,720",1980,Drama
When a Stranger Calls 1980 Re-release,"$1,262,052",1980,
Why Would I Lie?,"$52,473",1980,Comedy
Nijinsky,"$1,047,454",1980,
Heart Beat,"$954,046",1980,Drama
One-Trick Pony,"$843,215",1980,
"Those Lips, Those Eyes","$63,766",1980,Romantic Comedy
A Small Circle of Friends,"$766,760",1980,Drama
Leo and Loree,"$517,988",1980,
Home Movies,"$89,134",1980,
Phobia,$0,1980,
Stalker 2019 Re-release,"$39,496",1980,
Breaking Glass,"$2,471",1980,
Breaker Morant,$948,1980,
The Changeling,"$12,000,147",1980,Horror
Superman II,"$190,400,000",1981,Adventure
Raiders of the Lost Ark,"$368,630,659",1981,Adventure
On Golden Pond,"$119,900,959",1981,Drama
Arthur,"$81,464,486",1981,Romantic Comedy
Stripes,"$85,300,000",1981,Comedy
The Cannonball Run,"$57,498,710",1981,Action
Chariots of Fire,"$61,924,076",1981,Drama
For Your Eyes Only,"$195,300,000",1981,Action
The Four Seasons,"$42,488,161",1981,Comedy
Time Bandits,"$38,898,095",1981,Adventure
Clash of the Titans,"$44,400,000",1981,Adventure
Absence of Malice,"$33,312,129",1981,Thriller/Suspense
Reds,"$50,000,130",1981,Drama
The Fox and the Hound,"$43,899,231",1981,Adventure
Tarzan the Ape Man,"$36,565,280",1981,
Taps,"$35,856,053",1981,Drama
Sharky's Machine,"$33,058,275",1981,Thriller/Suspense
Excalibur,"$34,200,000",1981,Adventure
Endless Love,"$33,000,000",1981,Drama
History of the World: Part I,"$31,672,000",1981,Comedy
Bustin' Loose,"$31,261,000",1981,Comedy
The Great Muppet Caper,"$31,206,251",1981,Comedy
An American Werewolf in London,"$61,968,388",1981,Horror
Neighbors,"$29,952,397",1981,Black Comedy
Fort Apache the Bronx,"$29,200,000",1981,
Cinderella 1981 Re-release,"$28,040,000",1981,
The French Lieutenant's Woman,"$22,680,978",1981,Drama
Private Lessons,"$18,066,774",1981,Comedy
Modern Problems,"$24,474,312",1981,Comedy
Halloween II,"$25,533,818",1981,Horror
Only When I Laugh,"$25,782,304",1981,Romantic Comedy
Escape from New York,"$25,276,350",1981,Action
Body Heat,"$24,060,803",1981,Thriller/Suspense
Ghost Story,"$16,202,210",1981,Horror
Friday the 13th: Part 2,"$21,722,776",1981,
The Final Conflict,"$20,471,000",1981,Horror
The Incredible Shrinking Woman,"$20,259,000",1981,Comedy
Mommie Dearest,"$25,032,000",1981,Drama
Paternity,"$18,838,000",1981,Romantic Comedy
Under the Rainbow,"$18,826,490",1981,Comedy
The Howling,"$17,985,130",1981,Horror
Eye of the Needle,"$17,583,000",1981,Thriller/Suspense
Take This Job and Shove It,"$17,569,000",1981,Comedy
Outland,"$20,000,000",1981,Action
The Devil and Max Devlin,"$16,000,000",1981,
Caveman,"$15,965,000",1981,Comedy
Continental Divide,"$15,578,000",1981,Romantic Comedy
The Night the Lights Went Out in Georgia,"$14,000,000",1981,
Ragtime,"$17,468,158",1981,Drama
Nighthawks,"$19,600,000",1981,Action
S.O.B.,"$14,867,086",1981,Black Comedy
Rich and Famous,"$13,000,000",1981,
Scanners,"$14,445,272",1981,Horror
Dragonslayer,"$6,000,000",1981,Action
True Confessions,"$12,200,000",1981,
Atlantic City,"$10,000,000",1981,Drama
The Legend of the Lone Ranger,"$13,525,581",1981,Western
First Monday in October,"$12,000,000",1981,
The Postman Always Rings Twice,"$44,200,000",1981,Drama
Blow Out,"$13,748,714",1981,Thriller/Suspense
Back Roads,"$11,809,387",1981,Romantic Comedy
Thief,"$5,066,732",1981,Action
Victory,"$27,453,000",1981,Action
Rollover,"$10,217,873",1981,Thriller/Suspense
Wolfen,"$11,308,789",1981,Horror
Carbon Copy,"$8,431,852",1981,Comedy
Pennies from Heaven,"$6,200,000",1981,Musical
Deadly Blessing,"$2,800,000",1981,
Whose Life Is It Anyway?,"$6,100,000",1981,Drama
Prince of the City,"$9,000,000",1981,Drama
The Funhouse,"$7,000,141",1981,Horror
Buddy Buddy,"$5,299,037",1981,Comedy
La Cage aux Folles II,"$6,950,125",1981,
...All the Marbles,"$6,468,195",1981,
Eyewitness,"$6,400,000",1981,
Gallipoli,"$5,732,587",1981,Drama
My Bloody Valentine,$0,1981,Horror
Going Ape!,$0,1981,
The Dogs of War,$0,1981,Action
Student Bodies,"$1,582,148",1981,Comedy
The Watcher in the Woods,"$5,000,000",1981,
All Night Long,"$7,800,000",1981,Romantic Comedy
The Pursuit of D.B. Cooper,"$2,104,164",1981,Adventure
Zoot Suit,"$380,302",1981,Drama
The Fan,$0,1981,Thriller/Suspense
The Last Metro,"$3,007,436",1981,
Gas,$0,1981,
Modern Romance,"$29,137",1981,Romantic Comedy
The Hand,"$2,000,000",1981,Horror
Heartbeeps,"$6,000,000",1981,Comedy
This Is Elvis,"$429,146",1981,Documentary
Sphinx,"$11,400,000",1981,Thriller/Suspense
Honky Tonk Freeway,"$939,423",1981,Comedy
Raggedy Man,"$11,000,000",1981,Drama
King of the Mountain,"$958,637",1981,Drama
Cutter's Way,"$1,729,274",1981,
Silence of the North,"$344,837",1981,Drama
From Mao to Mozart: Isaac Stern in China,"$1,205,934",1981,
Night School,"$1,169,875",1981,
Eyes of a Stranger,"$546,724",1981,Horror
Herbie Goes Bananas 1981 Re-release,"$1,000,000",1981,
Herbie Goes to Monte Carlo 1981 Re-release,"$1,000,000",1981,
Sunday Lovers,$0,1981,
Beyond the Reef,"$547,525",1981,
Cattle Annie and Little Britches,"$115,679",1981,Western
Hard Country,$0,1981,
Man of Iron,$0,1981,
Kelly,$0,1981,
Freaky Friday 1981 Re-release,"$300,000",1981,
The Sea Wolves,$0,1981,Action
Second-Hand Hearts,$0,1981,
Glen or Glenda 1981 Re-release,"$10,158",1981,
Polyester,$0,1981,Comedy
That Obscure Object of Desire,$809,1981,
Dissolute Wife,$785,1981,
E.T. the Extra-Terrestrial,"$797,307,407",1982,Adventure
Tootsie,"$177,200,262",1982,Comedy
An Officer and a Gentleman,"$129,795,554",1982,Drama
Rocky III,"$270,000,000",1982,Action
Porky's,"$109,492,484",1982,Comedy
Star Trek II: The Wrath of Khan,"$96,066,374",1982,Adventure
48 Hrs.,"$75,936,265",1982,Action
Poltergeist,"$121,706,019",1982,Horror
The Best Little Whorehouse in Texas,"$69,701,637",1982,Musical
Annie,"$57,063,987",1982,Musical
The Verdict,"$53,977,250",1982,Drama
Gandhi,"$127,767,889",1982,Drama
First Blood,"$125,212,904",1982,Action
The Toy,"$47,118,057",1982,Comedy
Firefox,"$45,785,720",1982,Action
The Dark Crystal,"$42,236,321",1982,Adventure
Conan the Barbarian,"$79,114,085",1982,Action
The Sword and the Sorcerer,"$37,362,744",1982,Adventure
Best Friends,"$36,670,556",1982,Romantic Comedy
Richard Pryor: Live on the Sunset Strip,"$36,299,720",1982,
Friday the 13th: Part 3,"$34,583,256",1982,
Tron,"$26,919,100",1982,Action
Young Doctors in Love,"$30,741,060",1982,Comedy
Sophie's Choice,"$25,543,092",1982,Drama
The World According to Garp,"$30,207,324",1982,Comedy
Victor/Victoria,"$22,524,614",1982,Musical
Blade Runner,"$39,581,774",1982,Thriller/Suspense
Airplane II: The Sequel,"$25,009,494",1982,Comedy
Fast Times at Ridgemont High,"$27,093,116",1982,Comedy
Some Kind of Hero,"$20,400,486",1982,Drama
Mad Max 2: The Road Warrior,"$23,667,907",1982,
Bambi 1982 Re-release,"$23,000,000",1982,
Pink Floyd: The Wall,"$14,850,958",1982,Musical
Raiders of the Lost Ark 1982 Re-release,"$21,437,879",1982,
Things Are Tough All Over,"$21,134,374",1982,Comedy
Night Shift,"$21,017,056",1982,Comedy
Creepshow,"$20,523,048",1982,Horror
Quest for Fire,"$20,959,585",1982,
The Man from Snowy River,"$20,659,721",1982,Western
The Thing,"$15,036,345",1982,Horror
Six Pack,"$20,225,989",1982,Comedy
My Favorite Year,"$17,458,105",1982,Comedy
Deathtrap,"$19,282,000",1982,Black Comedy
Dead Men Don't Wear Plaid,"$18,196,170",1982,
Peter Pan 1982 Re-release,"$17,200,000",1982,
Zapped!,"$15,026,217",1982,Comedy
They Call Me Bruce,"$12,925,437",1982,Comedy
Death Wish II,"$16,100,000",1982,Action
Kiss Me Goodbye,"$15,782,759",1982,Romantic Comedy
Star Wars: Episode IV - A New Hope 1982 Re-release,"$15,476,785",1982,
Grease 2,"$14,297,083",1982,Musical
The Secret of NIMH,"$10,140,325",1982,Adventure
Halloween III: Season of the Witch,"$14,400,000",1982,
Diner,"$12,592,907",1982,Comedy
The Beastmaster,"$10,751,126",1982,Action
Missing,"$16,000,000",1982,Drama
Star Wars: Episode V - The Empire Strikes Back 1982 Re-release,"$13,276,241",1982,
Visiting Hours,"$12,581,713",1982,Horror
Vice Squad,"$5,582,489",1982,Action
Author! Author!,"$13,111,101",1982,Comedy
Amityville II: The Possession,"$11,328,000",1982,Horror
Monsignor,"$12,408,066",1982,Drama
Making Love,"$11,897,978",1982,Drama
The Seduction,"$4,888,270",1982,Thriller/Suspense
Das Boot,"$84,970,337",1982,Drama
Silent Rage,"$10,490,791",1982,Action
Savannah Smiles,$0,1982,
Class Reunion,"$10,054,150",1982,
Hanky Panky,"$9,823,934",1982,Comedy
Shoot the Moon,"$8,100,000",1982,Drama
A Midsummer Night's Sex Comedy,"$9,077,269",1982,Comedy
Trail of the Pink Panther,"$7,201,697",1982,Comedy
If You Could See What I Hear,"$8,693,512",1982,Drama
Night Crossing,"$4,500,000",1982,Drama
The Pirate Movie,"$7,983,086",1982,Musical
The Beast Within,"$4,000,000",1982,Horror
Tex,"$7,199,408",1982,Drama
The Missionary,"$7,241,180",1982,Comedy
Cat People,"$21,474,537",1982,Drama
I Ought to Be in Pictures,"$6,968,359",1982,Comedy
The Amateur,"$2,358,271",1982,Thriller/Suspense
Six Weeks,"$6,668,025",1982,Drama
Forced Vengeance,"$4,388,500",1982,Action
The Last Unicorn,"$6,698,256",1982,Adventure
The Soldier,"$6,232,823",1982,Action
The Border,"$6,118,683",1982,Drama
Evil Under the Sun,"$4,662,851",1982,Thriller/Suspense
Partners,"$4,109,724",1982,Comedy
Still of the Night,"$3,017,965",1982,Thriller/Suspense
The Last American Virgin,"$5,829,781",1982,Comedy
Megaforce,"$5,675,599",1982,Action
Personal Best,"$2,119,003",1982,Drama
Paradise,"$5,000,000",1982,Drama
Cannery Row,"$2,638,311",1982,Comedy
Venom,"$4,177,810",1982,Horror
Inchon,"$4,408,636",1982,Drama
Heidi's Song,"$4,269,402",1982,Musical
Tempest,"$5,005,245",1982,Comedy
Summer Lovers,"$1,275,845",1982,Comedy
Honkytonk Man,"$3,695,409",1982,Comedy
Jekyll and Hyde... Together Again,"$3,707,583",1982,Comedy
Wrong Is Right,"$3,600,000",1982,Comedy
Fighting Back,"$3,016,496",1982,Action
Penitentiary II,"$662,896",1982,Drama
The Challenge,"$3,534,852",1982,Action
Homework,"$2,914,328",1982,Comedy
Jinxed!,"$2,133,621",1982,Comedy
It Came from Hollywood,"$2,091,037",1982,Documentary
A Stranger Is Watching,"$481,088",1982,
A Little Sex,"$2,370,376",1982,Romantic Comedy
"Yes, Giorgio","$1,368,588",1982,Comedy
Barbarosa,"$1,736,123",1982,
"I, the Jury","$1,515,578",1982,Thriller/Suspense
Endangered Species,"$1,474,249",1982,
The Sender,"$968,663",1982,Horror
Lookin' to Get Out,"$832,238",1982,Comedy
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean","$840,958",1982,
The House Where Evil Dwells,$0,1982,
One from the Heart,"$1,079,300",1982,Drama
The Weavers: Wasn't That a Time,"$524,203",1982,
Monty Python Live at the Hollywood Bowl,"$327,958",1982,Concert/Performance
I'm Dancing as Fast as I Can,$0,1982,
Split Image,"$263,635",1982,Drama
Five Days One Summer,"$121,867",1982,Drama
The Escape Artist,"$142,670",1982,Drama
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"$78,350",1982,
Movie Madness,"$63,405",1982,
White Dog,$0,1982,
Hammett,"$8,222",1982,Thriller/Suspense
"Ladies and Gentlemen, the Fabulous Stains","$25,728",1982,
Love & Money,"$14,009",1982,
Parasite,"$2,270",1982,
Star Wars: Episode VI - Return of the Jedi,"$252,601,637",1983,
Terms of Endearment,"$108,423,749",1983,Drama
Flashdance,"$201,463,574",1983,Drama
Trading Places,"$90,400,000",1983,Comedy
Superman III,"$80,200,000",1983,Adventure
WarGames,"$74,433,837",1983,Thriller/Suspense
Octopussy,"$187,500,000",1983,Action
Sudden Impact,"$67,642,693",1983,Action
Staying Alive,"$126,041,474",1983,Drama
Mr. Mom,"$64,800,000",1983,Comedy
Risky Business,"$63,541,777",1983,Comedy
Vacation,"$61,399,851",1983,
The Big Chill,"$56,346,028",1983,Comedy
Never Say Never Again,"$160,000,000",1983,Action
Jaws 3-D,"$87,987,055",1983,Horror
Scarface,"$45,233,082",1983,Drama
Blue Thunder,"$42,313,354",1983,Action
Yentl,"$39,012,241",1983,Musical
Silkwood,"$35,737,154",1983,Drama
Psycho II,"$32,000,000",1983,Horror
Porky's II: The Next Day,"$33,759,266",1983,Comedy
Uncommon Valor,"$27,900,000",1983,Action
Snow White and the Seven Dwarfs 1983 Re-release,"$30,100,000",1983,
Never Cry Wolf,"$27,668,764",1983,Drama
Twilight Zone: The Movie,"$29,500,000",1983,Horror
Easy Money,"$29,309,766",1983,Comedy
High Road to China,"$28,416,459",1983,Adventure
The Outsiders,"$25,724,074",1983,Drama
Spring Break,"$24,071,666",1983,Comedy
Two of a Kind,"$23,700,000",1983,Romantic Comedy
My Tutor,"$22,587,000",1983,Comedy
Class,"$21,667,789",1983,Comedy
The Right Stuff,"$21,500,213",1983,Drama
Cujo,"$21,156,152",1983,Horror
Christine,"$21,228,951",1983,Horror
The Rescuers 1983 Re-release,"$21,000,000",1983,
The Dead Zone,"$20,766,000",1983,Thriller/Suspense
Breathless,"$19,910,002",1983,Action
A Christmas Story,"$20,640,209",1983,Comedy
Max Dugan Returns,"$17,613,720",1983,Comedy
Valley Girl,"$16,800,549",1983,Romantic Comedy
All the Right Moves,"$17,200,000",1983,Drama
Krull,"$16,519,460",1983,Adventure
Spacehunter: Adventures in the Forbidden Zone,"$16,478,265",1983,
Richard Pryor... Here and Now,"$16,156,776",1983,
D.C. Cab,"$16,134,000",1983,Comedy
Gorky Park,"$16,198,911",1983,Drama
Still Smokin,"$15,543,000",1983,Comedy
The Meaning of Life,"$14,929,552",1983,
Educating Rita,"$14,688,000",1983,Drama
Private School,"$14,049,540",1983,Comedy
The Survivors,"$14,000,000",1983,Comedy
The Entity,"$13,277,558",1983,Horror
Revenge of the Ninja,"$10,432,301",1983,Action
To Be or Not to Be,"$13,030,214",1983,Comedy
Stroker Ace,"$13,000,000",1983,Comedy
Lone Wolf McQuade,"$12,232,628",1983,Western
The Black Stallion Returns,"$9,851,679",1983,Adventure
The Sword in the Stone,"$12,000,000",1983,
Deathstalker,"$8,890,685",1983,Action
