title,worldwide,Year,Genre
Star Wars: Episode IV - A New Hope,"$307,263,857",1977,
Smokey and the Bandit,"$127,164,598",1977,Comedy
Close Encounters of the Third Kind,"$340,800,479",1977,Drama
Saturday Night Fever,"$282,400,000",1977,Drama
A Bridge Too Far,"$50,800,000",1977,Action
The Deep,"$50,681,884",1977,Adventure
The Spy Who Loved Me,"$185,400,000",1977,Action
"Oh, God!","$51,061,196",1977,Comedy
Annie Hall,"$38,252,270",1977,Romantic Comedy
Semi-Tough,"$37,187,139",1977,Comedy
Pete's Dragon,"$35,488,000",1977,
Heroes,"$33,000,000",1977,Drama
High Anxiety,"$31,063,038",1977,Comedy
Exorcist II: The Heretic,"$25,011,000",1977,Horror
The Rescuers,"$48,775,599",1977,Adventure
Slap Shot,"$28,000,000",1977,Comedy
Herbie Goes to Monte Carlo,"$28,000,000",1977,Comedy
The Gauntlet,"$35,400,000",1977,Action
The Turning Point,"$33,600,000",1977,Drama
Freaky Friday,"$25,942,000",1977,Comedy
The Other Side of Midnight,"$24,655,822",1977,Thriller/Suspense
Looking for Mr. Goodbar,"$16,900,000",1977,Drama
Julia,$0,1977,Drama
The Bad News Bears in Breaking Training,"$19,104,350",1977,
For the Love of Benji,"$22,257,624",1977,Adventure
"New York, New York","$13,800,302",1977,Musical
Black Sunday,$0,1977,Thriller/Suspense
Orca,"$14,717,854",1977,Horror
Bobby Deerfield,"$9,300,000",1977,Drama
Islands in the Stream,"$8,000,000",1977,
"Race for Your Life, Charlie Brown",$0,1977,Adventure
March or Die,"$1,000,000",1977,
Joseph Andrews,$0,1977,
Citizens Band,"$815,530",1977,
Fraternity Row,"$290,674",1977,
Sorcerer,"$12,630,039",1977,Adventure
1900,$420,1977,
Grease,"$387,472,317",1978,Musical
Superman,"$300,200,000",1978,Adventure
National Lampoon's Animal House,"$120,098,342",1978,
Every Which Way But Loose,"$104,268,727",1978,Comedy
Heaven Can Wait,"$98,800,000",1978,Comedy
Hooper,"$51,376,359",1978,Action
Jaws 2,"$208,900,376",1978,Horror
Revenge of the Pink Panther,"$37,337,746",1978,Comedy
The Deer Hunter,"$50,065,119",1978,Drama
Halloween,"$70,274,000",1978,Horror
Foul Play,"$40,415,179",1978,Comedy
The End,"$32,334,477",1978,Black Comedy
Up in Smoke,"$41,954,352",1978,
Midnight Express,"$35,000,134",1978,Drama
Coming Home,"$32,653,000",1978,Drama
The Lord of the Rings,"$27,000,000",1978,
House Calls,"$29,000,000",1978,Romantic Comedy
Damien: Omen II,"$24,000,000",1978,Horror
Invasion of the Body Snatchers,"$24,946,533",1978,Horror
Convoy,"$45,258,024",1978,Action
The Wiz,"$22,000,000",1978,Musical
F.I.S.T.,"$20,388,920",1978,
Sgt. Pepper's Lonely Hearts Club Band,"$12,900,000",1978,
Eyes of Laura Mars,"$18,900,000",1978,Thriller/Suspense
The One and Only,"$2,707,679",1978,Romantic Comedy
Return from Witch Mountain,"$16,393,000",1978,
Corvette Summer,"$15,500,000",1978,
The Greek Tycoon,"$14,000,000",1978,Drama
Death on the Nile,"$18,007,517",1978,Drama
The Buddy Holly Story,"$14,363,400",1978,Drama
The Big Fix,"$12,000,000",1978,Comedy
The Other Side of the Mountain: Part II,"$11,565,678",1978,
Moment by Moment,"$2,756",1978,Drama
Interiors,"$10,432,366",1978,Drama
Straight Time,$0,1978,Drama
Comes a Horseman,$0,1978,
American Hot Wax,"$11,000,000",1978,Drama
The Brink's Job,"$9,400,000",1978,Comedy
Goin' South,"$7,435,671",1978,
King of the Gypsies,"$8,000,000",1978,
Force 10 from Navarone,"$7,100,000",1978,Action
Paradise Alley,"$8,000,000",1978,Drama
The Bad News Bears Go to Japan,"$14,000,000",1978,Comedy
International Velvet,$0,1978,Drama
Blue Collar,"$6,521,083",1978,
Pretty Baby,$0,1978,Drama
Gray Lady Down,$0,1978,Adventure
Brass Target,"$354,797",1978,Drama
Caravans,"$1,000,000",1978,Adventure
Days of Heaven,"$3,660,880",1978,Drama
Our Winning Season,"$1,997,705",1978,
I Wanna Hold Your Hand,"$1,900,000",1978,Multiple Genres
Skateboard,$0,1978,Drama
Uncle Joe Shannon,"$3,697",1978,Drama
Nunzio,"$52,195",1978,
The Last Waltz,"$10,135",1978,
Kramer vs. Kramer,"$106,260,000",1979,Drama
The Amityville Horror,"$86,432,520",1979,Horror
Rocky II,"$85,182,160",1979,
Star Trek: The Motion Picture,"$139,729,480",1979,Adventure
Apocalypse Now,"$95,273,745",1979,Drama
Alien,"$188,034,787",1979,Horror
