items,domestic,international
http://www.wikidata.org/entity/Q28536668,1700000,0
http://www.wikidata.org/entity/Q20022598,4860000,0
http://www.wikidata.org/entity/Q115596487,10740559,30800000
http://www.wikidata.org/entity/Q30597974,9600000,1600000
http://www.wikidata.org/entity/Q3600228,2955131,0
http://www.wikidata.org/entity/Q228667,0,15000000
http://www.wikidata.org/entity/Q16147760,1427784,1060000
http://www.wikidata.org/entity/Q277457,77821,1487987
http://www.wikidata.org/entity/Q1466657,103300000,0
http://www.wikidata.org/entity/Q644552,6719561,100000000
http://www.wikidata.org/entity/Q4647042,338597,0
http://www.wikidata.org/entity/Q221113,78000000,157300000
http://www.wikidata.org/entity/Q55262219,6150915,6110000
http://www.wikidata.org/entity/Q22350702,2000,0
http://www.wikidata.org/entity/Q26828287,104651,0
http://www.wikidata.org/entity/Q29832507,72211043,55868939
http://www.wikidata.org/entity/Q19824574,74084,0
http://www.wikidata.org/entity/Q4665206,28308723,54700000
http://www.wikidata.org/entity/Q56703347,61604545,35200000
http://www.wikidata.org/entity/Q164103,170742341,313542341
http://www.wikidata.org/entity/Q23925022,7800000,0
http://www.wikidata.org/entity/Q300330,1655270,1120000
http://www.wikidata.org/entity/Q470645,10000,0
http://www.wikidata.org/entity/Q55087665,60390072,157700000
http://www.wikidata.org/entity/Q1129227,41138440,67700000
http://www.wikidata.org/entity/Q547514,159043,1020000
http://www.wikidata.org/entity/Q1070339,3651,0
http://www.wikidata.org/entity/Q1535888,38000000,0
http://www.wikidata.org/entity/Q13522795,38000000,0
http://www.wikidata.org/entity/Q108809561,11500000,3000000
http://www.wikidata.org/entity/Q179460,65223110,10697756
http://www.wikidata.org/entity/Q4668586,15322921,64770638
http://www.wikidata.org/entity/Q923195,18000000,0
http://www.wikidata.org/entity/Q2948074,15000,0
http://www.wikidata.org/entity/Q587707,37316631,84909000
http://www.wikidata.org/entity/Q467053,50750000,70000000
http://www.wikidata.org/entity/Q1962105,1000000,0
http://www.wikidata.org/entity/Q688570,112000,1120000
http://www.wikidata.org/entity/Q1130705,17300000,0
http://www.wikidata.org/entity/Q332394,930000,0
http://www.wikidata.org/entity/Q16156329,17706,4690000
http://www.wikidata.org/entity/Q21527443,39300000,20400000
http://www.wikidata.org/entity/Q332497,50068310,16000000
http://www.wikidata.org/entity/Q15142164,0,1300000
http://www.wikidata.org/entity/Q1519049,36931665,22020000
http://www.wikidata.org/entity/Q11694978,13500,0
http://www.wikidata.org/entity/Q39969,1386104,0
http://www.wikidata.org/entity/Q340138,72217298,35200000
http://www.wikidata.org/entity/Q340127,108385533,104000000
http://www.wikidata.org/entity/Q2956066,14300000,0
http://www.wikidata.org/entity/Q300360,14202275,20600000
http://www.wikidata.org/entity/Q104830658,137855863,187400000
http://www.wikidata.org/entity/Q556933,20070000,0
http://www.wikidata.org/entity/Q30203628,10464,180000
http://www.wikidata.org/entity/Q276415,51128488,27850000
http://www.wikidata.org/entity/Q181086,2650000,4000000
http://www.wikidata.org/entity/Q42915963,43100000,10400000
http://www.wikidata.org/entity/Q55552473,6800,0
http://www.wikidata.org/entity/Q4676502,900000,0
http://www.wikidata.org/entity/Q342876,24934350,29200000
http://www.wikidata.org/entity/Q343668,20000000,15000000
http://www.wikidata.org/entity/Q32067415,5100000,500000
http://www.wikidata.org/entity/Q132245,70012000,35800000
http://www.wikidata.org/entity/Q20649157,8107226,26003658
http://www.wikidata.org/entity/Q53726758,0,1000000
http://www.wikidata.org/entity/Q348508,309268,0
http://www.wikidata.org/entity/Q60462202,216514,0
http://www.wikidata.org/entity/Q445122,30947,0
http://www.wikidata.org/entity/Q4656245,1600000,0
http://www.wikidata.org/entity/Q352431,22548421,10700000
http://www.wikidata.org/entity/Q29567973,23142,0
http://www.wikidata.org/entity/Q4656253,516,0
http://www.wikidata.org/entity/Q38774788,50188914,85400000
http://www.wikidata.org/entity/Q2880136,4100000,8000000
http://www.wikidata.org/entity/Q16158068,17247957,2600000
http://www.wikidata.org/entity/Q19824669,50000,0
http://www.wikidata.org/entity/Q932458,34547618,0
http://www.wikidata.org/entity/Q3602431,115421,0
http://www.wikidata.org/entity/Q4682732,34391,448000
http://www.wikidata.org/entity/Q64019350,0,31000000
http://www.wikidata.org/entity/Q1588422,18007307,6000000
http://www.wikidata.org/entity/Q61654745,22499270,48700000
http://www.wikidata.org/entity/Q21527614,64308075,140500000
http://www.wikidata.org/entity/Q57314401,42300000,45600000
http://www.wikidata.org/entity/Q18085742,104000,0
http://www.wikidata.org/entity/Q2824975,31999,0
http://www.wikidata.org/entity/Q4101694,31345539,40600000
http://www.wikidata.org/entity/Q636356,3745150,0
http://www.wikidata.org/entity/Q19871635,104000,0
http://www.wikidata.org/entity/Q4526392,450000,3500000
http://www.wikidata.org/entity/Q4685915,18000,0
http://www.wikidata.org/entity/Q379994,16529267,16400000
http://www.wikidata.org/entity/Q379983,17802,0
http://www.wikidata.org/entity/Q300401,7600000,0
http://www.wikidata.org/entity/Q3242,9000,135000
http://www.wikidata.org/entity/Q178423,1294780,0
http://www.wikidata.org/entity/Q198560,15532,8250000
http://www.wikidata.org/entity/Q16960397,121513,0
http://www.wikidata.org/entity/Q30612597,6069868,0
http://www.wikidata.org/entity/Q4689102,143803,0
http://www.wikidata.org/entity/Q2819736,0,32800
http://www.wikidata.org/entity/Q445175,316032,0
http://www.wikidata.org/entity/Q4003704,6280000,0
http://www.wikidata.org/entity/Q466186,62600000,97000000
http://www.wikidata.org/entity/Q20001840,5000000,1000000
http://www.wikidata.org/entity/Q1767167,20000000,0
http://www.wikidata.org/entity/Q4423867,10429,0
http://www.wikidata.org/entity/Q3092327,15628406,13900000
http://www.wikidata.org/entity/Q4689603,10177,144985
