item,title,pub_date,originLabel,worldwide,Year,Genre,title_year
http://www.wikidata.org/entity/Q108745,Ghostbusters,1984-01-01T00:00:00Z,United States of America,295582480.0,1984,Comedy,ghostbusters1984
http://www.wikidata.org/entity/Q109116,The Great Dictator,1940-10-15T00:00:00Z,United States of America,52332.0,1940,Comedy,thegreatdictator1940
http://www.wikidata.org/entity/Q110138,Top Gun,1986-10-03T00:00:00Z,United States of America,357463748.0,1986,Action,topgun1986
http://www.wikidata.org/entity/Q110278,Vanilla Sky,2002-01-24T00:00:00Z,United States of America,202726605.0,2001,Thriller/Suspense,vanillasky2001
http://www.wikidata.org/entity/Q110206,Dirty Harry,1971-01-01T00:00:00Z,United States of America,28153434.0,1971,Action,dirtyharry1971
http://www.wikidata.org/entity/Q109110,Marked for Death,1990-01-01T00:00:00Z,United States of America,43224499.0,1990,Action,markedfordeath1990
http://www.wikidata.org/entity/Q110203,Collateral,2004-01-01T00:00:00Z,United States of America,217602967.0,2004,Action,collateral2004
http://www.wikidata.org/entity/Q108946,A Few Good Men,1992-01-01T00:00:00Z,United States of America,236500000.0,1992,Drama,afewgoodmen1992
http://www.wikidata.org/entity/Q109564,Rope,1948-09-25T00:00:00Z,United States of America,1099.0,1948,Thriller/Suspense,rope1948
http://www.wikidata.org/entity/Q109331,Back to the Future Part II,1989-11-22T00:00:00Z,United States of America,331971868.0,1989,Adventure,backtothefuturepartii1989
http://www.wikidata.org/entity/Q110043,The Birds,1963-09-20T00:00:00Z,United States of America,11436929.0,1963,Horror,thebirds1963
http://www.wikidata.org/entity/Q109767,The Blues Brothers,1980-01-01T00:00:00Z,United States of America,57245279.0,1980,Comedy,thebluesbrothers1980
http://www.wikidata.org/entity/Q110365,Dancer in the Dark,2000-05-17T00:00:00Z,Germany,45556774.0,2000,Musical,dancerinthedark2000
http://www.wikidata.org/entity/Q110365,Dancer in the Dark,2000-05-17T00:00:00Z,Finland,45556774.0,2000,Musical,dancerinthedark2000
http://www.wikidata.org/entity/Q110365,Dancer in the Dark,2000-05-17T00:00:00Z,Spain,45556774.0,2000,Musical,dancerinthedark2000
http://www.wikidata.org/entity/Q110365,Dancer in the Dark,2000-05-17T00:00:00Z,Italy,45556774.0,2000,Musical,dancerinthedark2000
http://www.wikidata.org/entity/Q110365,Dancer in the Dark,2000-05-17T00:00:00Z,Netherlands,45556774.0,2000,Musical,dancerinthedark2000
