Wikipedia_movie_ID,Freebase_movie_ID,title,worldwide,Runtime,Languages,originLabel,Genre,Year,title_year
975900,/m/03vyhn,Ghosts of Mars,14010832.0,98.0,['English Language'],United States of America,"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Supernatural', 'Action', 'Space western']",2001,ghostsofmars2001
10408933,/m/02qc0j7,Alexander's Ragtime Band,3600000.0,106.0,['English Language'],United States of America,"['Musical', 'Comedy', 'Black-and-white']",1938,alexander'sragtimeband1938
171005,/m/016ywb,Henry V,10161099.0,137.0,['English Language'],United Kingdom,"['Costume drama', 'War film', 'Epic', 'Period piece', 'Drama', 'Film adaptation']",1989,henryv1989
77856,/m/0kcn7,Mary Poppins,102272727.0,139.0,['English Language'],United States of America,"[""Children's/Family"", 'Musical', 'Fantasy', 'Comedy', 'Drama', 'Family Film', ""Children's Fantasy""]",1964,marypoppins1964
612710,/m/02wjqm,New Rose Hotel,21521.0,92.0,['English Language'],United States of America,"['Thriller', 'Science Fiction', 'Future noir', 'Indie', 'Erotic thriller', 'Fantasy', 'Film adaptation', 'Drama']",1999,newrosehotel1999
156558,/m/014k4y,Baby Boy,29381649.0,123.0,['English Language'],United States of America,"['Crime Fiction', 'Drama', 'Coming of age']",2001,babyboy2001
1364293,/m/04wy0v,They Knew What They Wanted,932000.0,96.0,['English Language'],United States of America,"['Romance Film', 'Marriage Drama', 'Drama', 'Black-and-white']",1940,theyknewwhattheywanted1940
261237,/m/01mrrd,The Gods Must Be Crazy,34331783.0,109.0,"['Afrikaans Language', 'English Language']",South Africa,"['Adventure', 'Action/Adventure', 'Indie', 'World cinema', 'Cult', 'Adventure Comedy', 'Comedy', 'Slapstick']",1980,thegodsmustbecrazy1980
12008535,/m/02vlsqt,Rudo y Cursi,11091868.0,103.0,['Spanish Language'],Mexico,"['Sports', 'Drama', 'Family Drama', 'Comedy-drama', 'Comedy']",2008,rudoycursi2008
12008535,/m/02vlsqt,Rudo y Cursi,11091868.0,103.0,['Spanish Language'],United States of America,"['Sports', 'Drama', 'Family Drama', 'Comedy-drama', 'Comedy']",2008,rudoycursi2008
4951456,/m/0cws46,Kinjite: Forbidden Subjects,3416846.0,97.0,['English Language'],United States of America,"['Crime Fiction', 'Action/Adventure', 'Action', 'Thriller']",1989,kinjite:forbiddensubjects1989
5708633,/m/0f0d1p,The Great New Wonderful,172055.0,87.0,['English Language'],United States of America,"['Drama', 'Ensemble Film', 'Comedy-drama', 'Indie']",2006,thegreatnewwonderful2006
12053509,/m/02vn81r,Loverboy,3960327.0,98.0,['English Language'],United States of America,"['Romantic comedy', 'Romance Film', 'Comedy']",1989,loverboy1989
7364373,/m/0kv612,The Covered Wagon,3500000.0,23.0,['English Language'],United States of America,"['Short Film', 'Epic Western', 'Western', 'Silent film', 'Indie']",1923,thecoveredwagon1923
7028314,/m/0h10pz,The Little Hut,3600000.0,90.0,['English Language'],United States of America,"['Romantic comedy', 'Romance Film', 'Comedy']",1957,thelittlehut1957
12788657,/m/02x4zpv,The Boston Strangler,17810894.0,116.0,['English Language'],United States of America,"['Crime Fiction', 'Mystery', 'Thriller', 'Drama', 'Crime Thriller']",1968,thebostonstrangler1968
3873713,/m/0b4f1s,Lee Dae-ro Can't Die,4736013.0,108.0,['Korean Language'],South Korea,"['Action', 'Comedy']",2005,leedae-rocan'tdie2005
164387,/m/015wmg,...And Justice for All,33300000.0,120.0,['English Language'],United States of America,"['Thriller', 'Crime Fiction', 'Comedy-drama', 'Mystery', 'Satire', 'Drama', 'Comedy', 'Legal drama', 'Courtroom Drama', 'New Hollywood', 'Suspense']",1979,...andjusticeforall1979
24282217,/m/07sb8_t,The Naked Kitchen,638181.0,102.0,['Korean Language'],South Korea,"['World cinema', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",2009,thenakedkitchen2009
7767613,/m/026ccts,Star!,4000000.0,176.0,['English Language'],United States of America,"['Biography', 'Musical', 'Drama', 'Biopic [feature]', 'Biographical film', 'Musical Drama']",1968,star!1968
164388,/m/015wmt,The Great Santini,4702575.0,115.0,['English Language'],United States of America,"['Family Drama', 'Drama']",1979,thegreatsantini1979
